127.0.0.1 - - [10/Sep/2024:13:50:23 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/ HTTP/1.1" 200 28269
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/img/paypal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2024:13:50:24 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
