127.0.0.1 - - [07/Sep/2024:16:28:25 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/ HTTP/1.1" 200 27994
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/css/bootstrap.css/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/paypal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/font-awesome/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/logo-bootstrap-shoping-cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/bootstrap-template.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/js/jquery.easing-1.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/slide/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/js/shop.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap_free-ecommerce.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/slide/bootstrap-templates.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/slide/carousel3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/img/e.jpg HTTP/1.1" 200 29146
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/user/font-awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [07/Sep/2024:16:28:26 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
