0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:33:37 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:33:45 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:33:50 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:35:42 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 23789
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:35:45 +0700] "GET /DiamonShop/chi-tiet-san-pham/24 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:35:49 +0700] "GET /DiamonShop/chi-tiet-san-pham/8 HTTP/1.1" 200 11574
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:35:56 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:35 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 23786
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:43 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 22112
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:47 +0700] "GET /DiamonShop/chi-tiet-san-pham/1 HTTP/1.1" 200 15995
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:52 +0700] "GET /DiamonShop/chi-tiet-san-pham/5 HTTP/1.1" 200 11574
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:55 +0700] "GET /DiamonShop/chi-tiet-san-pham/24 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:36:58 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:37:27 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:37:39 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 22256
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:37:41 +0700] "GET /DiamonShop/chi-tiet-san-pham/11 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:37:45 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:26 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 20497
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:28 +0700] "GET /DiamonShop/chi-tiet-san-pham/21 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:33 +0700] "GET /DiamonShop/san-pham HTTP/1.1" 200 11921
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:37 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:55 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 20488
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:38:56 +0700] "GET /DiamonShop/product_details.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:00 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 20621
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:01 +0700] "GET /DiamonShop/chi-tiet-san-pham/25 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:04 +0700] "GET /DiamonShop/chi-tiet-san-pham/11 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:08 +0700] "GET /DiamonShop/chi-tiet-san-pham/25 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:23 +0700] "GET /DiamonShop/chi-tiet-san-pham/24 HTTP/1.1" 200 11575
0:0:0:0:0:0:0:1 - - [03/Oct/2024:13:39:27 +0700] "GET /DiamonShop/chi-tiet-san-pham/23 HTTP/1.1" 200 11575
