0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/user/img/e.jpg HTTP/1.1" 200 29146
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/user/img/h.jpg HTTP/1.1" 200 29856
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/user/img/i.jpg HTTP/1.1" 200 30551
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/disc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:00:56 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/AddCart/8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/ HTTP/1.1" 200 28288
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
